146,Necklaces,Necklaces,141
147,Rings,Rings,141
148,Wrist Watches,Wrist Watches,141
149,Other Jewellery & Watches,Other Jewellery & Watches,141

150,Mobile & Home Phones,Mobile & Home Phones,0
151,Mobile Phones Only,Mobile Phones Only,150
152,PDA Phones & Accessories,PDA Phones & Accessories,150
153,Mobile Phone Accessories,Mobile Phone Accessories,150
154,Home Phones,Home Phones,150
155,Other Mobile & Home Phones,Other Mobile & Home Phones,150

156,Music,Music,0
157,Alternative,Alternative,156
158,Chinese / Asia,Chinese / Asia,156
159,Classical,Classical,156
160,Jazz,Jazz,156
161,Pop / 1980s,Pop / 1980s,156
162,Pop / 1990s,Pop / 1990s,156
163,Pop / 2000-Now,Pop / 2000-Now,156
164,Soundtracks,Soundtracks,156
165,Compilations,Compilations,156
166,World Music,World Music,156
167,Other Music,Other Music,156

168,Other Entertainment Items,Other Entertainment Items,0

169,Pets and Pet Supplies,Pets and Pet Supplies,0
170,Live Pets,Live Pets,169
171,Pet Supplies & Accessories,Pet Supplies & Accessories,169

172,Real Estate,Real Estate,0
173,Residential,Residential,172
174,Commercial,Commercial,172
175,Timeshares,Timeshares,172
176,Other Real Estate,Other Real Estate,172

177,Sports,Sports,0
178,Memorabilia,Memorabilia,177
179,Sporting Goods,Sporting Goods,177

180,Stamps,Stamps,0
181,Asia,Asia,180
182,Australia,Australia,180
183,British Commonwealth,British Commonwealth,180
184,Europe,Europe,180
185,United States,United States,180
186,Other,Other,180

187,Toys & Hobbies,Toys & Hobbies,0
188,Action Figures,Action Figures,187
189,Building Toys,Building Toys,187
190,Card Games,Card Games,187
191,Diecast / Toy Vehicles,Diecast / Toy Vehicles,187
192,Educational,Educational,187
193,Games,Games,187
194,Models,Models,187
195,Puzzles,Puzzles,187
196,Radio Control,Radio Control,187
197,Robots / Monsters / Space Toys,Robots / Monsters / Space Toys,187
198,Slot Cars,Slot Cars,187
199,Stuffed Animals / Beanbags,Stuffed Animals / Beanbags,187
200,Transformers & Zoids,Transformers & Zoids,187
201,TV / Movie / Character Toys,TV / Movie / Character Toys,187
202,Other Toys & Hobbies Items,Other Toys & Hobbies Items,187

203,Video Games,Video Games,0
204,Nintendo DS,Nintendo DS,203
205,Nintendo GBA,Nintendo GBA,203
206,PC Games,PC Games,203
207,Playstation-2,Playstation-2,203
208,PSP,PSP,203
209,Xbox 360 & Xbox,Xbox 360 & Xbox,203
210,Other Video Games,Other Video Games,203

211,Everything Else,Everything Else,0

212,Business Services,Business Services,0

213,Musical Instruments,Musical Instruments,0

214,Tickets,Tickets,0

215,Other,Other,0
